"PROBEID" "SYMBOL" "ENTREZID"
"ILMN_10397" "RASGRP2" "10235"
"ILMN_10399" "GBAS" "2631"
"ILMN_1040" "LOC124842" NA
"ILMN_10401" "OR2D2" "120776"
"ILMN_10403" "DKFZP686A10121" NA
"ILMN_10404" "PTPN21" "11099"
"ILMN_10406" "ZNF222" "7673"
"ILMN_10407" "SFRS14" NA
"ILMN_10408" "COL8A1" "1295"
"ILMN_10409" "USMG5" "84833"
"ILMN_1041" "C6orf143" NA
"ILMN_10410" "ZNF579" "163033"
"ILMN_10412" "ATP13A4" "84239"
"ILMN_10413" "SPATA22" "84690"
"ILMN_10414" "ARHGAP21" "57584"
"ILMN_10415" "DDX19A" "55308"
"ILMN_10416" "DMRTA1" "63951"
"ILMN_10418" "C20orf144" "128864"
"ILMN_10419" "HIST1H2AJ" "8331"
"ILMN_1042" "MXI1" "4601"
"ILMN_10420" "C7orf33" "202865"
"ILMN_10421" "CEBPZ" "10153"
"ILMN_10423" "CNO" NA
"ILMN_10424" "SYVN1" "84447"
"ILMN_10425" "TCERG1L" "256536"
"ILMN_10426" "GENX-3414" NA
"ILMN_10430" "LENG9" "94059"
"ILMN_10431" "BRD8" "10902"
"ILMN_10434" "FLJ20625" NA
"ILMN_10437" "LRRIQ2" NA
"ILMN_10438" "VAMP1" "6843"
"ILMN_1044" "CLK3" "1198"
"ILMN_10445" "PPRC1" "23082"
"ILMN_10449" "CXXC5" "51523"
"ILMN_10450" "C6orf167" NA
"ILMN_10451" "POLR3H" "171568"
"ILMN_10453" "MGC34821" NA
"ILMN_10455" "MGC48628" NA
"ILMN_10456" "CDRT15" "146822"
"ILMN_10457" "OR2G6" "391211"
"ILMN_10458" "CLCF1" "23529"
"ILMN_10459" "FLJ22313" NA
"ILMN_1046" "TIMP2" "7077"
"ILMN_10460" "TCEAL5" "340543"
"ILMN_10462" "CISH" "1154"
"ILMN_10463" "HSPA12B" "116835"
"ILMN_10464" "THEG" "51298"
"ILMN_10465" "KIRREL2" "84063"
"ILMN_10466" "FLJ13149" NA
"ILMN_10468" "AQP7" "364"
"ILMN_10469" "PCP4" "5121"
"ILMN_1047" "DTNBP1" "84062"
"ILMN_10471" "MGC70863" NA
"ILMN_10472" "E2F1" "1869"
"ILMN_10473" "FGF23" "8074"
"ILMN_10474" "TSPAN3" "10099"
"ILMN_10475" "GSTP1" "2950"
"ILMN_10476" "MMP25" "64386"
"ILMN_10477" "CAPN1" "823"
"ILMN_10478" "SPRR3" "6707"
"ILMN_10479" "DEFA6" "1671"
"ILMN_10480" "UPK1A" "11045"
"ILMN_10481" "OTUD6A" "139562"
"ILMN_10482" "MFHAS1" "9258"
"ILMN_10483" "SGK3" "23678"
